4 4 0 .OOO....B.ZPAAB.ZPC....PC..DD....... O99 P99 B99 D99
4 4 0 .OOO....B.Z.AAB.ZPC....PC..DDP...... O99 P98 B99 D99
4 4 0 .OOO....B.Z.AAB.Z.C....PC..DDP.....P O99 P97 B99 D99
4 4 0 .OOOZP..B.ZPAAB..PC.....C..DD....... O99 Z99 B99 D99
4 4 0 .OOO.P..B..PAAB.ZPC...Z.C..DD....... O99 Z99 B99 D99
4 4 0 OOO.....B.ZPAAB.ZPC....PC..DD....... O98 P99 B99 D99
4 4 0 OOO.....B.Z.AAB.ZPC....PC..DDP...... O98 P98 B99 D99
4 4 0 OOO.....B.Z.AAB.Z.C....PC..DDP.....P O98 P97 B99 D99
4 4 0 OOO.ZP..B.ZPAAB..PC.....C..DD....... O98 Z99 B99 D99
4 4 0 OOO..P..B..PAAB.ZPC...Z.C..DD....... O98 Z99 B99 D99
